Reading training examples... 3695 examples, 1135424 tokens, 48 features, 48 classes... done
Iter 1: .........*(NumConst=1, SV=1, CEps=307.2866, QPEps=0.0000)
Iter 2: .........*(NumConst=2, SV=2, CEps=332.5830, QPEps=0.0000)
Iter 3: .........*(NumConst=3, SV=3, CEps=365.7237, QPEps=0.0000)
Iter 4: .........*(NumConst=4, SV=4, CEps=365.7243, QPEps=0.0000)
Iter 5: .........*(NumConst=5, SV=5, CEps=357.8203, QPEps=0.0000)
Iter 6: .........*(NumConst=6, SV=6, CEps=347.5958, QPEps=0.0000)
Iter 7: .........*(NumConst=7, SV=7, CEps=336.6735, QPEps=0.0000)
Iter 8: .........*(NumConst=8, SV=8, CEps=329.3850, QPEps=0.0000)
Iter 9: .........*(NumConst=9, SV=9, CEps=329.2135, QPEps=0.0000)
Iter 10: .........*(NumConst=10, SV=10, CEps=329.4701, QPEps=0.0000)
Iter 11: .........*(NumConst=11, SV=11, CEps=327.4509, QPEps=9.1328)
Iter 12: *(NumConst=12, SV=11, CEps=36.8731, QPEps=12.8913)
Iter 13: .........*(NumConst=13, SV=12, CEps=335.4707, QPEps=9.0527)
Iter 14: .........*(NumConst=14, SV=13, CEps=321.5910, QPEps=16.1193)
Iter 15: .........*(NumConst=15, SV=14, CEps=307.1682, QPEps=48.5066)
Iter 16: .........*(NumConst=16, SV=15, CEps=290.3713, QPEps=21.7887)
Iter 17: .........*(NumConst=17, SV=16, CEps=281.3842, QPEps=18.6412)
Iter 18: .........*(NumConst=18, SV=17, CEps=275.8226, QPEps=33.9614)
Iter 19: .........*(NumConst=19, SV=18, CEps=268.5852, QPEps=30.9504)
Iter 20: .........*(NumConst=20, SV=19, CEps=255.7102, QPEps=48.5258)
Iter 21: *(NumConst=21, SV=19, CEps=28.6233, QPEps=5.7297)
Iter 22: .........*(NumConst=22, SV=20, CEps=248.3319, QPEps=26.0348)
Iter 23: .........*(NumConst=23, SV=22, CEps=234.5803, QPEps=45.9653)
Iter 24: *(NumConst=24, SV=19, CEps=27.3811, QPEps=9.2879)
Iter 25: .........*(NumConst=25, SV=20, CEps=369.3114, QPEps=29.6311)
Iter 26: .........*(NumConst=26, SV=21, CEps=329.8172, QPEps=18.9834)
Iter 27: .........*(NumConst=27, SV=22, CEps=287.7529, QPEps=37.4978)
Iter 28: .........*(NumConst=28, SV=23, CEps=253.3656, QPEps=48.0311)
Iter 29: *(NumConst=29, SV=22, CEps=28.6379, QPEps=7.9935)
Iter 30: .........*(NumConst=30, SV=23, CEps=245.0781, QPEps=10.7347)
Iter 31: .........*(NumConst=31, SV=24, CEps=215.5819, QPEps=17.1392)
Iter 32: *(NumConst=32, SV=18, CEps=29.1738, QPEps=14.0648)
Iter 33: .........*(NumConst=33, SV=19, CEps=282.7171, QPEps=34.4258)
Iter 34: .........*(NumConst=34, SV=19, CEps=258.9147, QPEps=42.5052)
Iter 35: *(NumConst=35, SV=17, CEps=27.0018, QPEps=2.3203)
Iter 36: *(NumConst=36, SV=17, CEps=28.4471, QPEps=4.6737)
Iter 37: .........*(NumConst=37, SV=17, CEps=246.8908, QPEps=18.8708)
Iter 38: *(NumConst=38, SV=12, CEps=38.3621, QPEps=0.0000)
Iter 39: .........*(NumConst=39, SV=17, CEps=458.6852, QPEps=10.6101)
Iter 40: .........*(NumConst=40, SV=17, CEps=341.1618, QPEps=17.3504)
Iter 41: .........*(NumConst=41, SV=16, CEps=275.6444, QPEps=20.0377)
Iter 42: *(NumConst=42, SV=17, CEps=42.8443, QPEps=4.7437)
Iter 43: *(NumConst=43, SV=16, CEps=33.0045, QPEps=5.4004)
Iter 44: .........*(NumConst=44, SV=17, CEps=517.4969, QPEps=18.2343)
Iter 45: .........*(NumConst=45, SV=17, CEps=335.9613, QPEps=5.3663)
Iter 46: .........*(NumConst=46, SV=18, CEps=310.8323, QPEps=23.9870)
Iter 47: *(NumConst=47, SV=17, CEps=31.2622, QPEps=3.6928)
Iter 48: .........*(NumConst=48, SV=18, CEps=516.4030, QPEps=29.6804)
Iter 49: .........*(NumConst=49, SV=19, CEps=373.5267, QPEps=4.9179)
Iter 50: .........*(NumConst=50, SV=19, CEps=362.9930, QPEps=40.9957)
Iter 51: *(NumConst=51, SV=19, CEps=36.4464, QPEps=15.7068)
Iter 52: .........*(NumConst=52, SV=20, CEps=304.6386, QPEps=22.7209)
Iter 53: *(NumConst=53, SV=21, CEps=45.9881, QPEps=18.0842)
Iter 54: *(NumConst=54, SV=24, CEps=36.0239, QPEps=12.3287)
Iter 55: *(NumConst=55, SV=24, CEps=31.3900, QPEps=14.8908)
Iter 56: .........*(NumConst=56, SV=23, CEps=436.7077, QPEps=24.8122)
Iter 57: .........*(NumConst=57, SV=24, CEps=446.2618, QPEps=17.1054)
Iter 58: .........*(NumConst=58, SV=25, CEps=370.7334, QPEps=43.2962)
Iter 59: .........*(NumConst=59, SV=25, CEps=346.7969, QPEps=16.9470)
Iter 60: *(NumConst=60, SV=22, CEps=35.8452, QPEps=4.8620)
Iter 61: .........*(NumConst=60, SV=22, CEps=290.1622, QPEps=29.1818)
Iter 62: *(NumConst=61, SV=21, CEps=45.4232, QPEps=18.9468)
Iter 63: .........*(NumConst=62, SV=18, CEps=405.4356, QPEps=9.1055)
Iter 64: .........*(NumConst=63, SV=19, CEps=334.3788, QPEps=13.7975)
Iter 65: *(NumConst=64, SV=21, CEps=41.8206, QPEps=9.8728)
Iter 66: .........*(NumConst=65, SV=22, CEps=324.6127, QPEps=44.1975)
Iter 67: *(NumConst=66, SV=20, CEps=49.5913, QPEps=23.0604)
Iter 68: .........*(NumConst=67, SV=20, CEps=257.2883, QPEps=20.8796)
Iter 69: *(NumConst=68, SV=19, CEps=46.5085, QPEps=12.9803)
Iter 70: *(NumConst=69, SV=18, CEps=66.4268, QPEps=7.3543)
Iter 71: *(NumConst=70, SV=18, CEps=41.0305, QPEps=19.8636)
Iter 72: *(NumConst=71, SV=19, CEps=29.2796, QPEps=7.1526)
Iter 73: *(NumConst=70, SV=21, CEps=28.3842, QPEps=9.8709)
Iter 74: *(NumConst=71, SV=19, CEps=29.7726, QPEps=9.8383)
Iter 75: .........*(NumConst=72, SV=20, CEps=536.5142, QPEps=14.4183)
Iter 76: .........*(NumConst=73, SV=20, CEps=415.5065, QPEps=6.6112)
Iter 77: .........*(NumConst=74, SV=20, CEps=499.6980, QPEps=44.6311)
Iter 78: .........*(NumConst=75, SV=22, CEps=346.6116, QPEps=37.1078)
Iter 79: *(NumConst=76, SV=21, CEps=47.6282, QPEps=16.3879)
Iter 80: *(NumConst=77, SV=26, CEps=35.5343, QPEps=11.4479)
Iter 81: *(NumConst=77, SV=26, CEps=48.9975, QPEps=12.1667)
Iter 82: .........*(NumConst=77, SV=27, CEps=812.7191, QPEps=38.6737)
Iter 83: .........*(NumConst=77, SV=25, CEps=627.0988, QPEps=7.2788)
Iter 84: .........*(NumConst=77, SV=25, CEps=523.6593, QPEps=11.5620)
Iter 85: .........*(NumConst=76, SV=26, CEps=428.0391, QPEps=30.2187)
Iter 86: *(NumConst=77, SV=22, CEps=50.8382, QPEps=17.0641)
Iter 87: .........*(NumConst=77, SV=23, CEps=442.3622, QPEps=9.7485)
Iter 88: .........*(NumConst=78, SV=24, CEps=358.9092, QPEps=13.6312)
Iter 89: *(NumConst=78, SV=22, CEps=47.7457, QPEps=18.4846)
Iter 90: .........*(NumConst=78, SV=23, CEps=376.1033, QPEps=47.7880)
Iter 91: *(NumConst=78, SV=24, CEps=52.3714, QPEps=10.2732)
Iter 92: .........*(NumConst=78, SV=24, CEps=433.8682, QPEps=21.7922)
Iter 93: .........*(NumConst=78, SV=25, CEps=315.6010, QPEps=46.4446)
Iter 94: *(NumConst=78, SV=26, CEps=66.9626, QPEps=17.9453)
Iter 95: *(NumConst=79, SV=31, CEps=46.8280, QPEps=8.2814)
Iter 96: *(NumConst=80, SV=26, CEps=63.2711, QPEps=15.4989)
Iter 97: *(NumConst=81, SV=27, CEps=40.7333, QPEps=13.8526)
Iter 98: *(NumConst=82, SV=30, CEps=49.3932, QPEps=6.3350)
Iter 99: .........*(NumConst=83, SV=30, CEps=1009.6187, QPEps=29.2823)
Iter 100: .........*(NumConst=83, SV=32, CEps=786.2474, QPEps=7.7520)
Iter 101: .........*(NumConst=84, SV=30, CEps=682.7973, QPEps=40.3269)
Iter 102: .........*(NumConst=85, SV=30, CEps=576.1355, QPEps=14.0285)
Iter 103: .........*(NumConst=86, SV=29, CEps=583.8873, QPEps=44.8757)
Iter 104: .........*(NumConst=86, SV=30, CEps=502.3403, QPEps=12.2818)
Iter 105: .........*(NumConst=86, SV=29, CEps=415.5335, QPEps=45.1652)
Iter 106: *(NumConst=87, SV=27, CEps=62.6332, QPEps=15.1420)
Iter 107: .........*(NumConst=87, SV=27, CEps=353.0218, QPEps=14.6468)
Iter 108: *(NumConst=88, SV=28, CEps=46.6888, QPEps=20.3736)
Iter 109: *(NumConst=87, SV=27, CEps=51.6658, QPEps=10.1584)
Iter 110: *(NumConst=88, SV=26, CEps=59.5075, QPEps=12.3633)
Iter 111: *(NumConst=86, SV=28, CEps=36.6826, QPEps=6.6511)
Iter 112: .........*(NumConst=87, SV=26, CEps=535.1036, QPEps=30.7737)
Iter 113: .........*(NumConst=88, SV=29, CEps=450.3110, QPEps=48.8487)
Iter 114: *(NumConst=88, SV=27, CEps=85.4157, QPEps=38.6143)
Iter 115: .........*(NumConst=89, SV=27, CEps=438.3146, QPEps=8.7197)
Iter 116: .........*(NumConst=87, SV=29, CEps=394.5816, QPEps=20.6919)
Iter 117: *(NumConst=87, SV=26, CEps=49.1432, QPEps=18.2957)
Iter 118: .........*(NumConst=86, SV=27, CEps=351.1967, QPEps=28.7525)
Iter 119: *(NumConst=87, SV=31, CEps=60.6785, QPEps=25.8184)
Iter 120: *(NumConst=87, SV=28, CEps=41.6074, QPEps=11.9697)
Iter 121: .........*(NumConst=87, SV=29, CEps=482.3541, QPEps=27.2300)
Iter 122: *(NumConst=87, SV=29, CEps=53.8772, QPEps=17.6887)
Iter 123: .........*(NumConst=86, SV=31, CEps=399.1438, QPEps=44.0535)
Iter 124: *(NumConst=87, SV=31, CEps=52.0141, QPEps=10.0794)
Iter 125: .........*(NumConst=86, SV=31, CEps=405.9522, QPEps=26.6031)
Iter 126: *(NumConst=86, SV=32, CEps=45.6235, QPEps=21.6131)
Iter 127: .........*(NumConst=87, SV=33, CEps=564.5080, QPEps=24.3830)
Iter 128: .........*(NumConst=87, SV=35, CEps=583.1460, QPEps=19.2190)
Iter 129: .........*(NumConst=86, SV=33, CEps=455.5065, QPEps=17.1115)
Iter 130: *(NumConst=86, SV=34, CEps=61.6670, QPEps=29.9384)
Iter 131: .........*(NumConst=87, SV=34, CEps=381.6097, QPEps=29.3113)
Iter 132: *(NumConst=86, SV=35, CEps=75.6577, QPEps=21.4203)
Iter 133: *(NumConst=87, SV=34, CEps=77.7416, QPEps=31.4640)
Iter 134: *(NumConst=88, SV=33, CEps=68.8291, QPEps=27.3743)
Iter 135: .........*(NumConst=88, SV=33, CEps=1063.5991, QPEps=25.1258)
Iter 136: .........*(NumConst=89, SV=35, CEps=941.2568, QPEps=17.9209)
Iter 137: .........*(NumConst=90, SV=34, CEps=810.6694, QPEps=23.0981)
Iter 138: .........*(NumConst=90, SV=36, CEps=675.2450, QPEps=48.5470)
Iter 139: *(NumConst=91, SV=35, CEps=86.3282, QPEps=38.8633)
Iter 140: .........*(NumConst=90, SV=37, CEps=582.1394, QPEps=31.0975)
Iter 141: .........*(NumConst=90, SV=40, CEps=435.7979, QPEps=37.4017)
Iter 142: *(NumConst=91, SV=37, CEps=99.5020, QPEps=26.0410)
Iter 143: *(NumConst=91, SV=39, CEps=69.2243, QPEps=30.1568)
Iter 144: *(NumConst=89, SV=39, CEps=51.4678, QPEps=18.5987)
Iter 145: .........*(NumConst=89, SV=39, CEps=714.6497, QPEps=36.8759)
Iter 146: .........*(NumConst=87, SV=40, CEps=487.9237, QPEps=16.2773)
Iter 147: *(NumConst=86, SV=39, CEps=69.6226, QPEps=26.2838)
Iter 148: .........*(NumConst=87, SV=39, CEps=521.1271, QPEps=44.2055)
Iter 149: .........*(NumConst=87, SV=40, CEps=414.7086, QPEps=22.9283)
Iter 150: *(NumConst=86, SV=38, CEps=75.8353, QPEps=21.9288)
Iter 151: *(NumConst=87, SV=41, CEps=45.3128, QPEps=21.8035)
Iter 152: *(NumConst=87, SV=42, CEps=58.8288, QPEps=18.9410)
Iter 153: .........*(NumConst=88, SV=42, CEps=931.9707, QPEps=19.8427)
Iter 154: .........*(NumConst=87, SV=44, CEps=775.8709, QPEps=30.5201)
Iter 155: .........*(NumConst=88, SV=43, CEps=940.1768, QPEps=40.9584)
Iter 156: .........*(NumConst=87, SV=44, CEps=634.9591, QPEps=28.2599)
Iter 157: *(NumConst=86, SV=47, CEps=73.4060, QPEps=22.4843)
Iter 158: .........*(NumConst=86, SV=47, CEps=688.1908, QPEps=13.7729)
Iter 159: .........*(NumConst=86, SV=45, CEps=539.1489, QPEps=35.4413)
Iter 160: *(NumConst=87, SV=43, CEps=64.3116, QPEps=31.0920)
Iter 161: .........*(NumConst=87, SV=44, CEps=554.8111, QPEps=39.2223)
Iter 162: *(NumConst=88, SV=41, CEps=62.7210, QPEps=26.7706)
Iter 163: .........*(NumConst=89, SV=42, CEps=528.0020, QPEps=38.3181)
Iter 164: *(NumConst=90, SV=41, CEps=57.9171, QPEps=24.4723)
Iter 165: .........*(NumConst=91, SV=42, CEps=392.6111, QPEps=24.4048)
Iter 166: *(NumConst=91, SV=44, CEps=74.3419, QPEps=29.3690)
Iter 167: *(NumConst=92, SV=46, CEps=59.5391, QPEps=22.7573)
Iter 168: *(NumConst=92, SV=47, CEps=47.8031, QPEps=19.6554)
Iter 169: *(NumConst=92, SV=51, CEps=42.8682, QPEps=20.0613)
Iter 170: *(NumConst=93, SV=52, CEps=70.5221, QPEps=15.4022)
Iter 171: .........*(NumConst=93, SV=51, CEps=1294.5113, QPEps=11.3012)
Iter 172: .........*(NumConst=94, SV=51, CEps=978.9685, QPEps=18.8114)
Iter 173: .........*(NumConst=94, SV=56, CEps=792.6329, QPEps=27.1826)
Iter 174: .........*(NumConst=95, SV=54, CEps=814.2024, QPEps=44.1242)
Iter 175: .........*(NumConst=95, SV=52, CEps=665.7144, QPEps=49.0370)
Iter 176: *(NumConst=96, SV=48, CEps=81.9184, QPEps=34.8876)
Iter 177: .........*(NumConst=97, SV=48, CEps=497.2744, QPEps=32.7160)
Iter 178: *(NumConst=97, SV=46, CEps=59.6859, QPEps=17.3804)
Iter 179: .........*(NumConst=97, SV=47, CEps=429.1248, QPEps=29.5436)
Iter 180: *(NumConst=98, SV=45, CEps=50.8074, QPEps=24.6157)
Iter 181: *(NumConst=97, SV=44, CEps=64.4315, QPEps=15.7347)
Iter 182: *(NumConst=98, SV=44, CEps=103.7941, QPEps=25.2364)
Iter 183: *(NumConst=98, SV=45, CEps=82.0218, QPEps=24.5327)
Iter 184: *(NumConst=99, SV=47, CEps=44.0073, QPEps=21.6852)
Iter 185: .........*(NumConst=100, SV=48, CEps=867.1666, QPEps=35.9627)
Iter 186: .........*(NumConst=101, SV=49, CEps=564.4081, QPEps=34.7514)
Iter 187: *(NumConst=102, SV=47, CEps=60.7800, QPEps=19.6751)
Iter 188: .........*(NumConst=103, SV=47, CEps=546.9221, QPEps=40.3779)
Iter 189: *(NumConst=104, SV=51, CEps=59.3318, QPEps=25.2010)
Iter 190: .........*(NumConst=105, SV=52, CEps=713.0153, QPEps=46.8467)
Iter 191: .........*(NumConst=102, SV=55, CEps=467.0247, QPEps=44.0841)
Iter 192: *(NumConst=103, SV=54, CEps=74.9525, QPEps=27.8724)
Iter 193: *(NumConst=103, SV=52, CEps=51.6999, QPEps=19.8172)
Iter 194: *(NumConst=104, SV=51, CEps=82.5275, QPEps=25.3759)
Iter 195: .........*(NumConst=105, SV=51, CEps=724.2728, QPEps=36.3238)
Iter 196: .........*(NumConst=104, SV=52, CEps=561.7463, QPEps=24.5330)
Iter 197: *(NumConst=105, SV=52, CEps=57.1844, QPEps=18.2390)
Iter 198: .........*(NumConst=106, SV=52, CEps=566.1065, QPEps=39.2114)
Iter 199: .........*(NumConst=105, SV=51, CEps=424.9161, QPEps=42.7959)
Iter 200: *(NumConst=104, SV=55, CEps=79.7361, QPEps=21.3615)
Iter 201: *(NumConst=105, SV=50, CEps=96.3981, QPEps=25.1199)
Iter 202: *(NumConst=106, SV=48, CEps=78.7267, QPEps=17.7145)
Iter 203: .........*(NumConst=107, SV=47, CEps=968.2047, QPEps=31.8176)
Iter 204: .........*(NumConst=107, SV=48, CEps=780.5934, QPEps=29.1676)
Iter 205: .........*(NumConst=108, SV=48, CEps=492.1602, QPEps=42.3079)
Iter 206: *(NumConst=108, SV=49, CEps=74.9407, QPEps=28.2463)
Iter 207: *(NumConst=108, SV=46, CEps=68.9478, QPEps=19.8764)
Iter 208: *(NumConst=107, SV=48, CEps=56.0649, QPEps=24.7509)
Iter 209: *(NumConst=105, SV=46, CEps=61.2086, QPEps=21.1103)
Iter 210: .........*(NumConst=106, SV=46, CEps=801.6736, QPEps=48.7727)
Iter 211: .........*(NumConst=106, SV=47, CEps=529.3863, QPEps=37.1867)
Iter 212: *(NumConst=107, SV=46, CEps=91.9053, QPEps=28.4153)
Iter 213: .........*(NumConst=107, SV=47, CEps=507.0066, QPEps=24.5271)
Iter 214: .........*(NumConst=108, SV=48, CEps=489.5150, QPEps=21.2570)
Iter 215: *(NumConst=107, SV=47, CEps=121.7827, QPEps=40.4467)
Iter 216: .........*(NumConst=108, SV=48, CEps=520.4683, QPEps=41.1956)
Iter 217: *(NumConst=108, SV=53, CEps=60.5251, QPEps=30.2460)
Iter 218: *(NumConst=108, SV=53, CEps=69.8057, QPEps=23.4690)
Iter 219: .........*(NumConst=107, SV=53, CEps=919.1400, QPEps=22.1784)
Iter 220: .........*(NumConst=107, SV=53, CEps=661.8967, QPEps=45.3290)
Iter 221: *(NumConst=107, SV=52, CEps=68.2043, QPEps=20.1081)
Iter 222: .........*(NumConst=108, SV=53, CEps=544.5176, QPEps=45.2504)
Iter 223: *(NumConst=109, SV=54, CEps=61.3060, QPEps=26.9986)
Iter 224: .........*(NumConst=108, SV=54, CEps=611.5395, QPEps=33.7410)
Iter 225: *(NumConst=107, SV=55, CEps=62.2478, QPEps=28.3045)
Iter 226: .........*(NumConst=107, SV=56, CEps=801.4234, QPEps=44.3215)
Iter 227: .........*(NumConst=107, SV=56, CEps=465.3289, QPEps=34.2372)
Iter 228: *(NumConst=108, SV=54, CEps=80.6194, QPEps=25.5935)
Iter 229: *(NumConst=108, SV=57, CEps=60.6217, QPEps=24.5509)
Iter 230: *(NumConst=109, SV=53, CEps=62.9709, QPEps=28.8129)
Iter 231: .........*(NumConst=109, SV=52, CEps=723.1314, QPEps=44.9830)
Iter 232: .........*(NumConst=109, SV=50, CEps=640.5436, QPEps=27.6242)
Iter 233: .........*(NumConst=109, SV=51, CEps=592.7029, QPEps=24.3591)
Iter 234: .........*(NumConst=110, SV=57, CEps=399.4291, QPEps=35.6599)
Iter 235: *(NumConst=111, SV=58, CEps=144.2538, QPEps=40.4174)
Iter 236: *(NumConst=111, SV=58, CEps=120.8408, QPEps=32.1766)
Iter 237: *(NumConst=112, SV=61, CEps=84.1459, QPEps=36.1611)
Iter 238: *(NumConst=113, SV=67, CEps=62.6967, QPEps=21.1112)
Iter 239: *(NumConst=114, SV=67, CEps=115.9584, QPEps=25.4676)
Iter 240: *(NumConst=115, SV=61, CEps=63.1140, QPEps=27.7161)
Iter 241: *(NumConst=116, SV=63, CEps=50.3304, QPEps=21.7995)
Iter 242: .........*(NumConst=116, SV=63, CEps=1674.4068, QPEps=38.5329)
Iter 243: .........*(NumConst=115, SV=64, CEps=1148.1653, QPEps=47.3797)
Iter 244: .........*(NumConst=116, SV=66, CEps=1053.0157, QPEps=37.6140)
Iter 245: .........*(NumConst=117, SV=63, CEps=840.3192, QPEps=38.0401)
Iter 246: .........*(NumConst=118, SV=61, CEps=806.8974, QPEps=43.7106)
Iter 247: .........*(NumConst=118, SV=62, CEps=769.7569, QPEps=38.5356)
Iter 248: .........*(NumConst=119, SV=61, CEps=783.0898, QPEps=49.0009)
